datetime,index,active_flt_2h,tot_pax,real_pax_seguridad,pax_momentum_sec,Group_Ryanair,Ontime_flt,Delayed_flt,EU_flt,INT_flt,NAC_flt,temperatura,v_viento,estado_clima,pax_roll_sec_6h,no_vuelos,weekday_num,is_weekend,is_weekday,h,is_morning,is_evening,is_night,festivo,Visp_fest
2025-11-17 04:00:00,0,9.0,1590.0,749.6083333333333,0.0,7.0,6.0,3.0,7.0,2.0,0.0,10.5,9.7,1.0,0.0,0,0,0,1,4,1,0,0,0,0
2025-11-17 05:00:00,1,14.0,706.0,962.4288617886178,213.0,10.0,11.0,3.0,9.0,2.0,3.0,10.0,10.4,1.0,0.0,0,0,0,1,5,1,0,0,0,0
2025-11-17 06:00:00,2,9.0,709.0,979.0428861788616,17.0,5.0,9.0,0.0,6.0,0.0,3.0,9.6,10.4,1.0,0.0,0,0,0,1,6,1,0,0,0,0
2025-11-17 07:00:00,3,21.0,3038.0,1966.9666666666667,988.0,7.0,17.0,4.0,15.0,4.0,2.0,9.0,10.4,1.0,0.0,0,0,0,1,7,1,0,0,0,0
2025-11-17 08:00:00,4,32.0,2819.0,2873.841260162601,907.0,12.0,21.0,11.0,20.0,10.0,2.0,9.9,10.1,1.0,0.0,0,0,0,1,8,1,0,0,0,0
2025-11-17 09:00:00,5,24.0,1589.0,2050.306097560976,-824.0,11.0,16.0,8.0,14.0,10.0,0.0,12.5,7.6,1.0,1597.0,0,0,0,1,9,1,0,0,0,0
2025-11-17 10:00:00,6,18.0,1602.0,1528.8146341463414,-521.0,8.0,14.0,4.0,10.0,7.0,1.0,15.1,6.1,1.0,1727.0,0,0,0,1,10,1,0,0,0,0
2025-11-17 11:00:00,7,23.0,2378.0,1965.4666666666667,437.0,9.0,14.0,9.0,13.0,9.0,1.0,16.6,6.8,3.0,1894.0,0,0,0,1,11,1,0,0,0,0
2025-11-17 12:00:00,8,23.0,1586.0,1823.4138211382112,-142.0,6.0,12.0,11.0,15.0,7.0,1.0,17.2,7.6,3.0,2035.0,0,0,0,1,12,0,1,0,0,0
2025-11-17 13:00:00,9,14.0,984.0,1469.82337398374,-354.0,3.0,8.0,6.0,9.0,4.0,1.0,17.4,7.2,1.0,1952.0,0,0,0,1,13,0,1,0,0,0
2025-11-17 14:00:00,10,13.0,1448.0,1320.426016260163,-149.0,8.0,10.0,3.0,7.0,5.0,1.0,17.0,7.9,1.0,1693.0,0,0,0,1,14,0,1,0,0,0
2025-11-17 15:00:00,11,20.0,2137.0,1734.311788617886,414.0,11.0,16.0,4.0,13.0,5.0,2.0,15.9,8.3,3.0,1640.0,0,0,0,1,15,0,1,0,0,0
2025-11-17 16:00:00,12,17.0,841.0,1577.6865853658535,-157.0,8.0,13.0,4.0,12.0,3.0,2.0,14.5,7.2,3.0,1649.0,0,0,0,1,16,0,1,0,0,0
2025-11-17 17:00:00,13,17.0,2245.0,1580.6345528455286,3.0,9.0,14.0,3.0,10.0,5.0,2.0,12.8,6.5,3.0,1584.0,0,0,0,1,17,0,1,0,0,0
2025-11-17 18:00:00,14,31.0,3463.0,2703.884552845529,1123.0,15.0,26.0,5.0,20.0,9.0,2.0,12.3,4.7,3.0,1731.0,0,0,0,1,18,0,1,0,0,0
2025-11-17 19:00:00,15,34.0,2812.0,2881.010365853658,177.0,17.0,24.0,10.0,22.0,10.0,2.0,11.2,6.5,2.0,1966.0,0,0,0,1,19,0,0,1,0,0
2025-11-17 20:00:00,16,17.0,398.0,1687.7014227642276,-1193.0,9.0,11.0,6.0,9.0,7.0,1.0,10.3,6.1,1.0,2028.0,0,0,0,1,20,0,0,1,0,0
